,volatility_model,dist,p,q,AIC_score,BIC_score,LL_score
55,EGARCH,studentst,1,1,-2200.285456273562,-2176.6303657711514,1105.142728136781
58,EGARCH,studentst,1,2,-2200.1780999025696,-2171.791991299677,1106.0890499512848
64,EGARCH,studentst,2,1,-2199.7221427588775,-2171.336034155985,1105.8610713794387
59,EGARCH,skewstudent,1,2,-2198.965658155459,-2165.8485314520844,1106.4828290777295
56,EGARCH,skewstudent,1,1,-2198.9383772307337,-2170.5522686278423,1105.4691886153669
