,volatility_model,dist,p,q,AIC_score,BIC_score,LL_score
56,EGARCH,skewstudent,1,1,-4582.200958278803,-4550.265895674819,2297.1004791394016
59,EGARCH,skewstudent,1,2,-4581.3150107429055,-4544.0574377049215,2297.6575053714528
62,EGARCH,skewstudent,1,3,-4579.320691969533,-4536.740608497554,2297.6603459847665
74,EGARCH,skewstudent,3,1,-4579.313243374293,-4536.733159902314,2297.6566216871465
68,EGARCH,skewstudent,2,2,-4579.163843844589,-4536.5837603726095,2297.5819219222944
