,volatility_model,dist,p,q,AIC_score,BIC_score,LL_score
55,EGARCH,studentst,1,1,-2162.1850198482616,-2138.63849814697,1086.0925099241308
67,EGARCH,studentst,2,2,-2161.629640197724,-2128.664509815916,1087.814820098862
76,EGARCH,studentst,3,2,-2160.291118001477,-2122.6166832794106,1088.1455590007388
56,EGARCH,skewstudent,1,1,-2160.214984045684,-2131.9591580041338,1086.107492022842
64,EGARCH,studentst,2,1,-2160.2006954507583,-2131.9448694092084,1086.1003477253792
