,volatility_model,dist,p,q,AIC_score,BIC_score,LL_score
65,EGARCH,skewstudent,2,1,-9513.053543948636,-9472.733259182472,4763.526771974318
59,EGARCH,skewstudent,1,2,-9513.028638655014,-9472.708353888853,4763.514319327507
62,EGARCH,skewstudent,1,3,-9511.111494281002,-9465.03116883396,4763.555747140501
74,EGARCH,skewstudent,3,1,-9511.085330753876,-9465.005005306832,4763.542665376937
56,EGARCH,skewstudent,1,1,-9510.880646116702,-9476.32040203142,4761.440323058351
