Date,open,high,low,close,volume,market_cap,lagged_open,lagged_close,returns,lagged_returns,returns2,idx,up,down,HV_14_days,HV_22_days,HV_44_days,SMA_14_close,DSMA_14_close,SMA_28_close,DSMA_28_close,SMA_12_close,DSMA_12_close,lagged_SMA_12_close,EMA_12_close,DEMA_12_close,SMA_26_close,DSMA_26_close,lagged_SMA_26_close,EMA_26_close,DEMA_26_close,rsi,macd,momentum,boll_bands_upper_band,boll_bands_lower_band,daily_volatility_close,daily_volatility_returns,daily_ann_volatility,daily_volatility_returns_1_lag,daily_volatility_returns_2_lag,daily_volatility_returns_3_lag,daily_volatility_returns_4_lag,daily_volatility_returns_5_lag,returns_1_lag,returns_2_lag,returns_3_lag,returns_4_lag,returns_5_lag
2019-10-01,0.26621,0.27766199999999996,0.26415,0.27092,5869940,753029606,0.26229,0.266231,1.7612524461839474,1.509888626649536,3.1020101791889383,0,1.761,0.0,5.209507975368336,4.298583003767615,3.848612628403759,0.2770804285714286,,0.2604458928571428,,0.27359008333333334,0.27359008333333334,0.27585525,0.27092,,0.26165311538461533,0.26165311538461533,0.2605589230769231,0.27092,,52.975366059377116,0.0,-0.008445000000000036,3.1639858334940967,-2.609824976351239,0.00165781184849188,0.08887053066886695,1.6978691044360863,1.1184837377234749,0.620223442215838,0.26760048058735597,1.017591935893259,0.23367487938488343,1.509888626649536,-1.6536611157150438,0.1005956916516837,-0.6562927662367102,2.22189186716677
2019-09-30,0.26229,0.267308,0.25331,0.266231,5786318,739996679,0.266651,0.262271,1.509888626649536,-1.6536611157150438,2.2797636648856217,1,1.51,0.0,5.3821307307979165,4.3332536817910166,3.8551099915008495,0.27652192857142854,,0.2596968571428571,,0.27585525,0.27585525,0.2784979166666666,0.2766106987179487,,0.2605589230769231,0.2605589230769231,0.25982053846153846,0.26029538746438746,,50.68245196834312,0.016315311253561227,-0.028000999999999998,3.2530762675790124,-2.7000324104361555,0.0014000714267493513,1.1184837377234749,21.36860180536935,0.620223442215838,0.26760048058735597,1.017591935893259,0.23367487938488343,4.028745192313511,-1.6536611157150438,0.1005956916516837,-0.6562927662367102,2.22189186716677,2.8828242343907684
2019-09-29,0.266651,0.266973,0.256229,0.262271,3358639,728991375,0.266214,0.266681,-1.6536611157150438,0.1005956916516837,2.7345950856279235,2,0.0,1.654,5.378081774300571,4.330399252759154,3.8505645275041815,0.2753167857142857,,0.25911814285714285,,0.2784979166666666,0.2784979166666666,0.2785670833333333,0.27605999358974354,,0.25982053846153846,0.25982053846153846,0.25934653846153843,0.2595631652421652,,48.721683153309144,0.01649682834757832,-0.05046900000000004,3.2366691605323172,-2.6860355891037457,0.0015591704525163461,0.620223442215838,11.849352225756181,0.26760048058735597,1.017591935893259,0.23367487938488343,4.028745192313511,2.927631126532566,0.1005956916516837,-0.6562927662367102,2.22189186716677,2.8828242343907684,-8.51218794623957
2019-09-28,0.266214,0.273086,0.262662,0.266681,3508094,741246595,0.268075,0.266413,0.1005956916516837,-0.6562927662367102,0.010119493178880624,3,0.101,0.0,5.342674183164381,4.395268910086456,3.8422004340298104,0.27440521428571424,,0.25837942857142854,,0.2785670833333333,0.2785670833333333,0.27712358333333337,0.2755170320512821,,0.25934653846153843,0.25934653846153843,0.258706,0.2592967407407407,,50.81068430265623,0.016220291310541368,-0.03142099999999998,3.2065205224656648,-2.657710093894236,9.475230867901361e-05,0.26760048058735597,5.112500003116197,1.017591935893259,0.23367487938488343,4.028745192313511,2.927631126532566,1.7045582565879545,-0.6562927662367102,2.22189186716677,2.8828242343907684,-8.51218794623957,-0.2315966567036143
2019-09-27,0.268075,0.269825,0.257497,0.266413,6916588,740502207,0.262621,0.268173,-0.6562927662367102,2.22189186716677,0.4307201950146331,4,0.0,0.656,5.360199746220411,4.540239104756479,3.9157619531535364,0.2730479285714286,,0.2576884642857143,,0.27712358333333337,0.27712358333333337,0.2757149166666667,0.2742838525641026,,0.258706,0.258706,0.2577511538461538,0.25839277207977207,,50.69138147090873,0.015891080484330522,-0.03152999999999995,3.20023080344059,-2.6541349462977326,0.0006222539674441561,1.017591935893259,19.44106663787179,0.23367487938488343,4.028745192313511,2.927631126532566,1.7045582565879545,0.3058942164676935,2.22189186716677,2.8828242343907684,-8.51218794623957,-0.2315966567036143,-5.05281546534706
2019-09-26,0.262621,0.26978,0.24898499999999998,0.268173,9037700,745394639,0.25499299999999997,0.262344,2.22189186716677,2.8828242343907684,4.936803469381834,5,2.222,0.0,5.354557052397668,4.56203725851999,4.205659250898091,0.27128992857142864,0.2770804285714286,0.25719692857142856,0.2604458928571428,0.2757149166666667,0.2757149166666667,0.2740070833333334,0.27310953205128213,,0.2577511538461538,0.2577511538461538,0.25694965384615387,0.25778101282051286,,51.452370774215744,0.015328519230769277,0.005071999999999965,3.1765647291246344,-2.6339848719817773,0.002060862713768183,0.23367487938488343,4.464352302212722,4.028745192313511,2.927631126532566,1.7045582565879545,0.3058942164676935,3.8284227533427906,2.8828242343907684,-8.51218794623957,-0.2315966567036143,-5.05281546534706,-5.918014964507268
2019-09-25,0.25499299999999997,0.27169099999999996,0.24196700000000002,0.262344,9996247,729194088,0.278542,0.25499299999999997,2.8828242343907684,-8.51218794623957,8.31067556639072,6,2.883,0.0,5.366628802701902,4.557314089485721,4.198011018692213,0.2690271428571429,0.27652192857142854,0.2565660357142857,0.2596968571428571,0.2740070833333334,0.2740070833333334,0.2722951666666667,0.27076421794871797,,0.25694965384615387,0.25694965384615387,0.25657680769230773,0.25700400712250715,,49.10253630204233,0.013760210826210817,0.012984999999999997,3.1565647699886275,-2.6185104842743416,0.0025989709742511935,4.028745192313511,76.96906882621789,2.927631126532566,1.7045582565879545,0.3058942164676935,3.8284227533427906,1.7172207978337128,-8.51218794623957,-0.2315966567036143,-5.05281546534706,-5.918014964507268,4.910399796042975
2019-09-24,0.278542,0.284853,0.24618299999999999,0.25499299999999997,11599279,708759794,0.27920300000000003,0.27871799999999997,-8.51218794623957,-0.2315966567036143,72.45734363210622,7,0.0,8.512,5.336996113579494,4.521412485937736,4.213411705430654,0.2673369285714286,0.2753167857142857,0.2558778928571429,0.25911814285714285,0.2722951666666667,0.2722951666666667,0.2707535833333334,0.26832887820512824,,0.25657680769230773,0.25657680769230773,0.2564043076923077,0.2562997663817664,,46.044275960117346,0.01202911182336186,0.005483999999999961,3.120889226175415,-2.586215369032558,0.008388054191825419,2.927631126532566,55.93231413736119,1.7045582565879545,0.3058942164676935,3.8284227533427906,1.7172207978337128,4.663177308224118,-0.2315966567036143,-5.05281546534706,-5.918014964507268,4.910399796042975,0.05336591227180776
2019-09-23,0.27920300000000003,0.29501700000000003,0.277692,0.27871799999999997,7028350,774705401,0.294232,0.27936500000000003,-0.2315966567036143,-5.05281546534706,0.05363701139629177,8,0.0,0.232,4.669047940140909,4.129219199662378,4.027543428576027,0.2661873571428572,0.27440521428571424,0.2560559285714286,0.25837942857142854,0.2707535833333334,0.2707535833333334,0.26741716666666665,0.2691557564102564,0.27092,0.2564043076923077,0.2564043076923077,0.2550334615384615,0.2567878717948718,0.27092,56.15669242482583,0.012367884615384628,0.031038999999999983,2.751870420261677,-2.219495705975963,0.0002287490437138708,1.7045582565879545,32.56553976655831,0.3058942164676935,3.8284227533427906,1.7172207978337128,4.663177308224118,2.7336370119363154,-5.05281546534706,-5.918014964507268,4.910399796042975,0.05336591227180776,13.242823098353828
2019-09-22,0.294232,0.294232,0.275907,0.27936500000000003,5563087,776502877,0.313473,0.294232,-5.05281546534706,-5.918014964507268,25.53094412685043,9,0.0,5.053,4.745383160633544,4.17625588176217,4.047151897129191,0.26339985714285713,0.2730479285714286,0.25572117857142856,0.2576884642857143,0.26741716666666665,0.26741716666666665,0.26404500000000003,0.2664019230769231,0.2766106987179487,0.2550334615384615,0.2550334615384615,0.2542878076923077,0.25614537749287747,0.26029538746438746,56.470755059578515,0.010256545584045651,0.037564000000000014,2.763266350340848,-2.2364666360551335,0.005256278257950189,0.3058942164676935,5.844100799863073,3.8284227533427906,1.7172207978337128,4.663177308224118,2.7336370119363154,1.96966294366737,-5.918014964507268,4.910399796042975,0.05336591227180776,13.242823098353828,5.510930024583027
