Date,open,high,low,close,volume,market_cap,lagged_open,lagged_close,returns,lagged_returns,returns2,idx,up,down,HV_14_days,HV_22_days,HV_44_days,SMA_14_close,DSMA_14_close,SMA_28_close,DSMA_28_close,SMA_12_close,DSMA_12_close,lagged_SMA_12_close,EMA_12_close,DEMA_12_close,SMA_26_close,DSMA_26_close,lagged_SMA_26_close,EMA_26_close,DEMA_26_close,rsi,macd,momentum,boll_bands_upper_band,boll_bands_lower_band,daily_volatility_close,daily_volatility_returns,daily_ann_volatility,daily_volatility_returns_1_lag,daily_volatility_returns_2_lag,daily_volatility_returns_3_lag,daily_volatility_returns_4_lag,daily_volatility_returns_5_lag,returns_1_lag,returns_2_lag,returns_3_lag,returns_4_lag,returns_5_lag
2019-10-01,8299.72,8497.69,8232.68,8343.28,15305343413,149913972768,8104.23,8293.87,0.5957411919887745,2.3405176828282803,0.3549075678322059,0,0.596,0.0,3.4059711344102657,2.8457168247873765,2.840548746616519,9066.526428571427,,9715.608571428571,,8872.225833333332,8872.225833333332,9032.486666666666,8343.28,,9648.731538461538,9648.731538461538,9734.587307692307,8343.28,,28.601248797957084,0.0,-1727.1099999999988,70827.18103873558,-52694.12818159273,17.469073029213604,0.6168716441637414,11.785316213884391,1.435181787341852,0.5822765330608202,0.6040542696788361,2.1117549326234366,0.9852594723620305,2.3405176828282803,-1.7187894134311321,-0.07186267321873663,1.6366608079596334,-4.336284124289058
2019-09-30,8104.23,8314.23,7830.76,8293.87,17115474183,149011567415,8246.04,8104.19,2.3405176828282803,-1.7187894134311321,5.478023023631863,1,2.341,0.0,3.3727488874658427,2.8253088731705254,2.846054325013177,9202.097142857143,,9797.046428571428,,9032.486666666666,9032.486666666666,9191.185,9053.136538461538,,9734.587307692307,9734.587307692307,9823.07269230769,9709.798418803417,,27.20111530298361,-656.6618803418787,-1725.8499999999985,71274.82294470523,-52870.628658990936,67.06200712773227,1.435181787341852,27.41910954775847,0.5822765330608202,0.6040542696788361,2.1117549326234366,0.9852594723620305,3.481233938823257,-1.7187894134311321,-0.07186267321873663,1.6366608079596334,-4.336284124289058,-1.5495495077471722
2019-09-29,8246.04,8261.71,7990.5,8104.19,13034629109,145590374681,8251.27,8245.92,-1.7187894134311321,-0.07186267321873663,2.9542370477229354,2,0.0,1.719,3.202898328932286,2.7265553058781737,2.816741052243879,9343.734285714285,,9870.363928571429,,9191.185,9191.185,9369.275,9174.646538461539,,9823.07269230769,9823.07269230769,9919.97076923077,9785.46849002849,,21.729725048449183,-610.8219515669516,-2077.45,69197.79614511746,-50510.3275736889,50.10912204878518,0.5822765330608202,11.124377544292752,0.6040542696788361,2.1117549326234366,0.9852594723620305,3.481233938823257,2.831646622470046,-0.07186267321873663,1.6366608079596334,-4.336284124289058,-1.5495495077471722,-11.395966007901892
2019-09-28,8251.27,8285.62,8125.43,8245.92,14141152736,148122503616,8113.1,8251.85,-0.07186267321873663,1.6366608079596334,0.0051642438021429265,3,0.0,0.072,3.2304855560740453,2.783486187427662,2.8155589517763575,9503.985714285713,,9929.4275,,9369.275,9369.275,9538.514166666668,9339.653525641026,,9919.97076923077,9919.97076923077,10000.772307692308,9870.783247863248,,22.92520343195868,-531.129722222222,-2020.4899999999998,70908.96286455383,-51900.99143598241,2.096571606218216,0.6040542696788361,11.540440618182206,2.1117549326234366,0.9852594723620305,3.481233938823257,2.831646622470046,1.3762287220780953,1.6366608079596334,-4.336284124289058,-1.5495495077471722,-11.395966007901892,-3.38685989321168
2019-09-27,8113.1,8271.52,7965.92,8251.85,16408941156,148212635834,8487.67,8118.97,1.6366608079596334,-4.336284124289058,2.67865860031108,4,1.637,0.0,3.2322062963860114,2.785239701031553,2.8524810124824347,9654.852142857142,,9978.882499999998,,9538.514166666668,9538.514166666668,9713.169166666667,9488.350833333332,,10000.772307692308,10000.772307692308,10058.7,9924.85925925926,,22.974309842837172,-436.50842592592744,-1946.3999999999996,72067.7999164948,-52758.09563078052,46.980174542034575,2.1117549326234366,40.345021338979194,0.9852594723620305,3.481233938823257,2.831646622470046,1.3762287220780953,0.7410536692295459,-4.336284124289058,-1.5495495077471722,-11.395966007901892,-3.38685989321168,0.5057027541687908
2019-09-26,8487.67,8515.69,7895.63,8118.97,19258205289,145812492488,8603.43,8486.99,-4.336284124289058,-1.5495495077471722,18.803360006561324,5,0.0,4.336,3.118768036771746,2.727134391248246,3.040751167691428,9805.473571428573,9066.526428571427,10026.965357142855,9715.608571428571,9713.169166666667,9713.169166666667,9899.759166666667,9625.791602564103,,10058.7,10058.7,10116.841923076923,9968.851410256411,,19.381104110610025,-343.0598076923088,-2122.3,70967.46869139164,-51356.52154853449,130.11471880613612,0.9852594723620305,18.823355789440786,3.481233938823257,2.831646622470046,1.3762287220780953,0.7410536692295459,0.2703308412437963,-1.5495495077471722,-11.395966007901892,-3.38685989321168,0.5057027541687908,-1.590313544772748
2019-09-25,8603.43,8744.83,8325.4,8486.99,21744728353,152404005091,9729.32,8620.57,-1.5495495077471722,-11.395966007901892,2.4011036769595036,6,0.0,1.55,3.190643978407809,2.638252883318023,3.0390678068235397,9969.127857142857,9202.097142857143,10076.652142857143,9797.046428571428,9899.759166666667,9899.759166666667,10055.889166666668,9814.520064102564,,10116.841923076923,10116.841923076923,10159.579615384615,10035.684088319089,,22.023237683663638,-221.16402421652492,-1789.800000000001,73585.00339188367,-53646.74767759795,47.22766191544884,3.481233938823257,66.50888101552628,2.831646622470046,1.3762287220780953,0.7410536692295459,0.2703308412437963,0.5282272997861656,-11.395966007901892,-3.38685989321168,0.5057027541687908,-1.590313544772748,-0.8257024607433383
2019-09-24,9729.32,9804.32,8370.8,8620.57,25002886689,154785821876,10067.96,9729.32,-11.395966007901892,-3.38685989321168,129.8680412532554,7,0.0,11.396,3.2267593637477447,2.7463589325166327,3.0371404794010175,10089.940714285714,9343.734285714285,10121.9175,9870.363928571429,10055.889166666668,10055.889166666668,10205.019166666667,9961.257756410256,,10159.579615384615,10159.579615384615,10193.796153846155,10077.260883190884,,23.083883705963288,-116.00312678062801,-1727.1399999999994,75205.56207324778,-55025.68064467636,392.0023218202923,2.831646622470046,54.098532762074946,1.3762287220780953,0.7410536692295459,0.2703308412437963,0.5282272997861656,0.38481283186130527,-3.38685989321168,0.5057027541687908,-1.590313544772748,-0.8257024607433383,0.6683499620032896
2019-09-23,10067.96,10074.24,9727.14,9729.32,15144925408,174674558023,10024.12,10070.39,-3.38685989321168,0.5057027541687908,11.470819936245833,8,0.0,3.387,1.357348241137295,1.934578796558098,2.5562562372693414,10196.755714285715,9503.985714285713,10177.807857142858,9929.4275,10205.019166666667,10205.019166666667,10242.44,10163.498461538462,8343.28,10193.796153846155,10193.796153846155,10194.761538461538,10160.284387464388,8343.28,36.71045432903045,3.214074074074233,-628.7299999999996,37877.85258247047,-17484.34115389904,120.58645492964779,1.3762287220780953,26.292812817337328,0.7410536692295459,0.2703308412437963,0.5282272997861656,0.38481283186130527,0.026315640511899423,0.5057027541687908,-1.590313544772748,-0.8257024607433383,0.6683499620032896,-0.4200650895836211
2019-09-22,10024.12,10074.44,9922.53,10070.39,13199651698,180784051699,10183.65,10019.72,0.5057027541687908,-1.590313544772748,0.2557352755739005,9,0.506,0.0,1.0782633377340995,1.7971342672091857,2.58493503301281,10240.016428571429,9654.852142857142,10200.718571428572,9978.882499999998,10242.44,10242.44,10246.239166666666,10219.185448717948,9053.136538461538,10194.761538461538,10194.761538461538,10199.188846153847,10189.648190883192,9709.798418803417,44.155919401047726,29.53725783475602,-290.15999999999985,32322.885014018313,-11842.852156875457,17.914550301360563,0.7410536692295459,14.157810471526986,0.2703308412437963,0.5282272997861656,0.38481283186130527,0.026315640511899423,0.12011474936532308,-1.590313544772748,-0.8257024607433383,0.6683499620032896,-0.4200650895836211,-0.34563321815469505
