Date,sigma_hat,hvol14,MSE_in,MSE_out,RMSE_in,RMSE_out,squared_error,momentum,rsi,macd,bblb,bbub,returns
2019-03-21,0.1985299491755311,0.18269857189909658,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.00025063250646880736,-943.6900000000003,59.47405722482525,60.13363960113521,3954.44213847914,4108.655004378018,-1.432853420976521
2019-03-22,0.1835862203966883,0.18191464088847875,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,2.7941780522660356e-06,-898.8300000000003,58.85932708825376,63.46168803418322,3964.404579677947,4118.329706036355,-0.1331131534017871
2019-03-23,0.1710267422829762,0.16726321712817455,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,1.4164121590824869e-05,-1000.8500000000003,59.84825791277286,66.40029914529441,3974.668555999157,4116.34144400086,0.2943003191200333
2019-03-24,0.16349037184700865,0.16756251259465035,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,1.6582330268603906e-05,-1037.6499999999996,58.11550269447846,65.29469373218853,3980.167783407213,4122.295073735661,-0.33904227066514636
2019-03-25,0.18268916463567414,0.1741787871407834,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,7.2426525105543e-05,-1235.8299999999995,51.20766478732949,60.22103988603475,3986.174559777237,4134.241154508493,-1.480258054718142
2019-03-26,0.17560652643880592,0.17557087539917612,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,1.2709966266853633e-09,-1304.6900000000005,53.4278717939259,62.77122507121976,4042.284763955075,4193.658093187798,0.5538409884355389
2019-03-27,0.21654151491474047,0.210620080184244,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,3.5063389267529824e-05,-1117.89,62.046140699153966,65.05470085469551,4089.0336517594733,4273.414919669114,2.527094458985246
2019-03-28,0.2057807596740205,0.21374466240824114,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,6.342374676012672e-05,-1255.44,59.94254367071927,59.83378917378377,4150.057266366154,4340.029876491005,-0.4404029589476721
2019-03-29,0.19940022692911777,0.21227636864286145,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.0001657950254324101,-966.12,62.191543371309,55.10655982905337,4221.438724387798,4413.321275612217,0.7165031362978524
2019-03-30,0.18314944699894384,0.18553028321525922,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,5.668381088918933e-06,-982.88,62.82831422856996,50.736381766376326,4305.248553704711,4475.79573200959,0.20207123729871768
2019-03-31,0.167913792348529,0.18218690378978636,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.00020372171021455201,-991.1900000000003,62.65558940914065,46.56699430198842,4389.23432449645,4559.914246932135,-0.03068657583806811
2019-04-01,0.178615425259306,0.1906089949342147,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.0001438457135468901,-1009.54,66.77595178351376,76.26486467235736,4478.162622144892,4660.514520712267,1.2774298241183146
2019-04-02,1.1412847209421197,0.8014763306834451,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.1154697420901917,-187.2299999999996,87.34192869582573,162.58384615383875,4265.783716114093,5047.161998171637,16.004315085665333
2019-04-03,1.0282606201128712,0.8004936307592856,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.051877801439196396,-262.54,88.34466293552894,198.3867022791956,4347.2470156107565,5142.48155581783,1.890667204300911
2019-04-04,0.9174855611409587,0.7968931871662784,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.014542520660849139,-329.1399999999994,84.4596476621861,227.27405982905293,4414.202754635436,5217.722959650294,-1.0149827125742306
2019-04-05,0.8457645506474822,0.7934013311466135,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.0027419067564961614,-261.71000000000004,85.96669787038223,272.57556267805563,4480.8807980683505,5292.640630503093,2.2869660550464133
2019-04-06,0.7483480817855063,0.7927362988519633,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.0019703138143389058,-243.9900000000007,86.25831131649305,314.08044871794215,4546.0623122146835,5368.877687785333,0.45837746775969634
2019-04-07,0.710124221250942,0.7873220712863052,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.005959508050082421,-138.99000000000072,87.88748705723911,360.7270014244941,4618.49806471549,5448.2019352845255,2.7116155204321757
2019-04-08,0.6573385455473881,0.7676970113171834,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.01217899096706307,-24.75999999999931,88.820109591868,402.4628205128138,4688.544717280971,5508.002425576186,1.7327701915704097
2019-04-09,0.6123040570827588,0.7860226705472321,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.03017815666401907,-194.40999999999985,82.4400993507977,433.59608262107577,4702.07931398012,5545.279257448466,-1.6162749545076238
2019-04-10,0.5845135209699164,0.7855980612310726,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.040434992332040544,-247.8099999999995,84.1671377380483,474.50153133902313,4720.591460323776,5566.612825390523,2.271618386325791
2019-04-11,0.6241176931976276,0.8503760603679755,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.051192848714591996,-400.38000000000017,68.41042549622,485.247713675205,4710.150903699876,5630.7090963001365,-5.007475936812966
2019-04-12,0.5587137901270584,0.851025713213636,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.08544626037857327,-120.98000000000047,69.01219845258069,515.5213532763455,4727.180093194911,5651.84133537653,0.4934011583394238
2019-04-13,0.4953589114176696,0.8512937013605941,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.12668957469171382,-182.76000000000028,69.1900859589756,497.329943019934,4745.126583587895,5673.6191306978335,0.13842354506987675
2019-04-14,0.4654934924246844,0.8473122258301883,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.14578554517938325,-100.56999999999971,70.99899255022623,474.75157407406374,4754.824531023563,5680.439754690734,1.385989679769395
2019-04-15,0.454578240378356,0.865796181916241,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.1691001954426554,-218.0300000000006,65.17058025012443,445.8223860398766,4751.847493911213,5699.073934660229,-1.9660950089750884
2019-04-16,0.47108337692572455,0.41624724772058286,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.0030070010662029936,-11.789999999999964,69.66124275029085,430.7074572649472,5022.8618831958665,5480.545259661288,3.270317554696689
2019-04-17,0.42289698378048185,0.4097173771605785,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.0001737020306554005,-98.78999999999996,70.06541361586099,403.8734045583952,5036.044797725345,5487.408059417522,0.3123721252761058
2019-04-18,0.39242661508464083,0.4033388831918925,0.06503843933235577,0.03593157728166584,0.25502635027062553,0.1895562641583386,0.00011907759524454162,-104.30999999999949,71.23566214213452,369.3338675213581,5049.548510582734,5494.765775131562,0.8805468668681371
