Rank,Model,p,q,Dist.,MCS p val
1,EGARCH,1,1,studentst,1.0
2,EGARCH,1,1,skewstudent,0.3
3,EGARCH,1,2,studentst,0.2
4,EGARCH,1,3,studentst,0.07
5,EGARCH,3,1,studentst,0.07
