Rank,ANN Model,TS Model,Optimizer,Drop. Rate,p,q,Distribution,MCS p Values
1,Model 5,Garch,rmsprop,0.4,1,1,Normal,1.0
2,Model 4,Garch,rmsprop,0.4,1,1,Normal,0.7
3,Model 5,Arch,rmsprop,0.5,1,3,Skewstudent,0.03
4,Model 4,Arch,sgd,0.5,1,3,Skewstudent,0.0
5,Model 5,Arch,rmsprop,0.4,1,3,Skewstudent,0.0
