Date,ann,ts,hvol14
2018-06-28,-0.19521953,-0.31531257943276775,-0.3417392596422843
2018-06-29,-0.119338974,-0.4107278804154662,-0.34648645598729233
2018-06-30,-0.20928903,-0.4141920585506603,-0.2890510912014572
2018-07-01,-0.259813,-0.5701307531787843,-0.2906506253137203
2018-07-02,-0.19794787,-0.5073163368658022,-0.26312022231704546
2018-07-03,-0.35765952,-0.5901460541332978,-0.31399590974775154
2018-07-04,-0.14818232,-0.7065350220911525,-0.30703576424540463
2018-07-05,-0.36346442,-0.7802011561423625,-0.2923657894427929
2018-07-06,-0.4573772,-0.857313901307656,-0.795836673520268
2018-07-07,-0.6805912,-0.7846966145751415,-0.7576963732207435
2018-07-08,-0.63065344,-0.8574228102826116,-0.8203785999998036
2018-07-09,-0.6810756,-0.8434612304134376,-0.7842199562169992
2018-07-10,-0.573323,-0.14026291065747754,-0.5961908452019611
2018-07-11,-0.5256704,-0.2948576717194846,-0.5866046834097332
2018-07-12,-0.46660358,-0.35413114542707297,-0.613441750054541
2018-07-13,-0.44887877,-0.517279877922176,-0.646641977251795
2018-07-14,-0.5247487,-0.6512182970653629,-0.7214665185624678
2018-07-15,-0.58382934,-0.669497213392553,-0.6795639989181957
2018-07-16,-0.6358276,-0.3865296041263138,-0.5963253161355203
2018-07-17,-0.50700766,-0.40714137920183957,-0.5698616215375886
2018-07-18,-0.4486984,-0.4102036083276312,-0.49942894089094436
2018-07-19,-0.48078,-0.5186623803037137,-0.48789964591601603
2018-07-20,-0.34152746,-0.4968398530909053,-0.4385191431637051
2018-07-21,-0.40466344,-0.5797853723697178,-0.463130079936245
2018-07-22,-0.26898378,-0.6974756523778727,-0.4630637451794664
2018-07-23,-0.41980463,-0.7537995031604129,-0.4707449418685441
2018-07-24,-0.44440752,-0.4935939991408924,-0.6567175281133985
2018-07-25,-0.4679374,-0.6129000498528397,-0.6597717536738994
2018-07-26,-0.53926206,-0.6940226612290634,-0.7082050478862071
2018-07-27,-0.6142016,-0.7781948351162911,-0.7070608950050792
2018-07-28,-0.5886286,-0.8514775862805586,-0.7022253140976993
2018-07-29,-0.6126587,-0.9120762554476872,-0.7307694204461072
2018-07-30,-0.73482656,-0.9086677122654583,-0.9031064133712933
2018-07-31,-0.70837677,-0.6740678466777353,-0.9170075980182187
2018-08-01,-0.7018576,-0.6801057725604985,-0.9445856300833835
2018-08-02,-0.7136379,-0.7399569045546349,-0.9484753271278099
2018-08-03,-0.750824,-0.8098454121311501,-0.9832413621205662
2018-08-04,-0.74123293,-0.8034940021595844,-1.019055213921871
2018-08-05,-0.75628245,-0.8699832284909458,-1.0052674305230564
2018-08-06,-0.78525114,-0.9152947974766326,-1.0120426470802744
2018-08-07,-0.8203547,-0.5129005444740993,-1.139624562583505
2018-08-08,-0.79798603,-0.2904987962539102,-1.0242974762283183
2018-08-09,-0.8039597,-0.42344618944846285,-0.9307431592004773
2018-08-10,-0.55760753,0.061740565475800056,-0.7678696730137553
2018-08-11,-0.5865171,-0.08411194493860358,-0.7781690382191461
2018-08-12,-0.5518599,-0.30098743974025033,-0.7920753248733348
2018-08-13,-0.2681933,0.3881270539495058,-0.5584697537091334
2018-08-14,-0.2533371,0.12932834659380094,-0.5708351319920356
2018-08-15,-0.22745676,-0.1240369141182498,-0.5095729188083957
2018-08-16,-0.23513113,-0.30949991310154373,-0.43887027584406674
2018-08-17,-0.095141456,0.1377500061531779,-0.0983611301928482
2018-08-18,0.07532647,0.17705143526841938,-0.04966748598681877
2018-08-19,0.09400137,-0.07603142649219174,-0.03398239821722031
2018-08-20,0.221768,0.3098175846011728,0.07097930281303322
2018-08-21,0.2003096,0.06329090943804486,0.09283386069009988
2018-08-22,0.16000807,-0.07435166665254703,0.05483267455964576
2018-08-23,0.17091306,-0.26663150915169237,0.04684960665664362
2018-08-24,0.16869551,-0.41920512487226497,-0.0559184431308676
2018-08-25,0.13537991,-0.561176810209986,-0.07302272823746164
2018-08-26,0.07296489,-0.6608066522792965,-0.07235443773383514
2018-08-27,-0.09773792,-0.6391653776443847,-0.32011199079589153
2018-08-28,-0.15186079,-0.6208970201469362,-0.3076713456455769
2018-08-29,-0.2974056,-0.6730918155765072,-0.28779668763597627
2018-08-30,-0.15203975,-0.7398242989503062,-0.2889752846875177
2018-08-31,-0.38703424,-0.8242345209116777,-0.5849307442731407
2018-09-01,-0.3483268,-0.7149292597458234,-0.6417709563352765
2018-09-02,-0.5180415,-0.8055344647491943,-0.653129382970768
2018-09-03,-0.5629657,-0.8426669368958988,-1.0159056242625866
2018-09-04,-0.65128106,-0.8875692436847047,-1.0374443896218588
2018-09-05,-0.027905658,1.7219115883269418,0.2111046257513874
2018-09-06,0.06989935,1.1926036269691092,0.18645930114427386
2018-09-07,0.13105837,0.9321176972352994,0.19565267343101272
2018-09-08,0.26756525,1.0093911920797045,0.30474100958732797
2018-09-09,0.3055641,0.5938012805097318,0.311102468969825
2018-09-10,0.3927257,0.24717879186184538,0.24121942548132277
2018-09-11,0.34255955,0.23801162780470944,0.16258332184013513
2018-09-12,0.36147088,-0.03772929568814847,0.1737469021694428
2018-09-13,0.6246263,0.981397087269616,0.7482064229520772
2018-09-14,0.50631696,0.5685334726367005,0.7523673782133159
2018-09-15,0.5050652,0.3935623568825459,0.7751781309704411
2018-09-16,0.7302137,0.0920044871499748,0.7714911366842236
2018-09-17,1.1245342,0.6161432983609516,0.8962774978611452
2018-09-18,1.3098899,0.47884618715522387,1.011506518787004
2018-09-19,0.530544,0.15245192202233748,0.3303249722006725
2018-09-20,0.7155086,0.19375375315397056,0.43718906553722714
2018-09-21,0.74636036,0.48376094594666713,0.5217689981638644
2018-09-22,0.5844305,0.2005221988980161,0.3265875793658809
2018-09-23,0.4748152,-0.05914631455190586,0.31818123581637126
2018-09-24,0.36552775,0.04241471518761203,0.4450696098838525
2018-09-25,0.3258489,-0.04449914382743033,0.39910573575298136
2018-09-26,0.4887861,-0.26181363937202456,0.4016782231828567
2018-09-27,0.1311934,-0.1967285096839319,0.05586545006264234
2018-09-28,0.24818516,-0.334774167795938,0.0796400113965747
2018-09-29,0.14536656,-0.37360382206296855,0.05587865417311428
2018-09-30,0.19897322,-0.5371896108060842,0.050911285712582625
2018-10-01,-0.023890242,-0.6595788210057645,-0.2998451264750891
2018-10-02,-0.2459241,-0.737883614309776,-0.3604442457408436
2018-10-03,-0.17823516,-0.7321081528079638,-0.32528845230245385
2018-10-04,-0.28148746,-0.8153818058131332,-0.45923931335296575
2018-10-05,-0.6315925,-0.8291146901603024,-0.7710985022198126
2018-10-06,-0.50481075,-0.8808033311081593,-0.7859650714140373
2018-10-07,-0.6577766,-0.9331263287403915,-0.8005841601887298
2018-10-08,-0.7254673,-0.9557556990056422,-0.9699908529127825
2018-10-09,-0.8456056,-0.9870260639200894,-1.0844477109972828
2018-10-10,-0.8982065,-1.0026390680583597,-1.0883161984787646
2018-10-11,-0.3997656,1.1210428892158446,-0.16988926298973994
2018-10-12,-0.012820318,0.7600133821720998,-0.11361492611183316
2018-10-13,-0.08469282,0.3984557882954251,-0.1642165722928682
2018-10-14,-0.055328533,0.11797066026085225,-0.16944703529057356
2018-10-15,0.024982885,0.18371279208410776,-0.00838124425516845
2018-10-16,0.11601065,-0.08938392937496462,-0.008939376760971398
2018-10-17,0.10596211,-0.29257822616441465,-0.02215595191967973
2018-10-18,0.118967086,-0.4440201018290222,-0.022456488907758088
2018-10-19,-0.043136075,-0.5947453560555774,-0.04481205617922967
2018-10-20,-0.07172401,-0.7080440867795729,-0.03902964740785044
2018-10-21,-0.03483121,-0.8013609197402943,-0.04148130589875846
2018-10-22,-0.15217961,-0.8699637837900208,-0.05301069012214639
2018-10-23,0.040222168,-0.9262846171248297,-0.05084656289247739
2018-10-24,-0.06361048,-0.9680622210521175,-0.05028929258435511
2018-10-25,-0.5871801,-0.9962738379971408,-1.1229056553475567
2018-10-26,-0.9188669,-1.021310069032629,-1.1924744704503347
2018-10-27,-1.0055443,-1.0391734546258105,-1.204176692903552
2018-10-28,-1.0306689,-1.0511780184004003,-1.2393993832414316
2018-10-29,-1.1535372,-0.8776358235273887,-1.5079194378452323
2018-10-30,-1.1669966,-0.9321135649872867,-1.5084915296658217
2018-10-31,-1.1940376,-0.9732534095612096,-1.5199013371759293
2018-11-01,-1.1736312,-0.999436836894106,-1.5362112136346042
2018-11-02,-1.1732875,-1.0168813102622403,-1.5256935742664195
2018-11-03,-1.2230443,-1.0363582634104176,-1.5364776394512547
2018-11-04,-1.2342823,-0.91560178516558,-1.4052719587355336
2018-11-05,-1.162102,-0.9557690293563997,-1.4055640754170793
2018-11-06,-1.1366137,-0.7962454288251678,-1.2765859647075637
2018-11-07,-1.0821098,-0.8654453644683079,-1.2723166481979757
2018-11-08,-1.0312788,-0.8633771625626838,-1.2285899630387511
2018-11-09,-1.0567071,-0.908531583319756,-1.2173709872976912
2018-11-10,-1.0312074,-0.9427528432856738,-1.2122117905099676
2018-11-11,-1.061045,-0.9771502092183793,-1.208657564434263
2018-11-12,-1.0597079,-1.0046212149098002,-1.3398900890558492
2018-11-13,-0.9993013,-0.9919872740506532,-1.3061198435043018
2018-11-14,-0.61279637,0.3757639204731151,-0.5212573012583199
2018-11-15,-0.45036858,0.06877753812515963,-0.5275138541907498
2018-11-16,-0.36065817,-0.1049558183546125,-0.5188244640149122
