Date,ann,ts,hvol14
2018-06-28,-0.36647475,-0.10096925580852051,-0.3417392596422843
2018-06-29,-0.42302418,-0.36545491211583964,-0.34648645598729233
2018-06-30,-0.39639068,-0.21474811133513202,-0.2890510912014572
2018-07-01,-0.4392594,-0.5410833850170416,-0.2906506253137203
2018-07-02,-0.49047822,-0.16647485158511355,-0.26312022231704546
2018-07-03,-0.38592446,-0.411702486680874,-0.31399590974775154
2018-07-04,-0.46603703,-0.540897020482502,-0.30703576424540463
2018-07-05,-0.42584634,-0.5098056448330563,-0.2923657894427929
2018-07-06,-0.6755796,-0.5440853795828825,-0.795836673520268
2018-07-07,-0.6122173,-0.3064291271473659,-0.7576963732207435
2018-07-08,-0.6550836,-0.5351646300360451,-0.8203785999998036
2018-07-09,-0.6956446,-0.39036788674182293,-0.7842199562169992
2018-07-10,-0.62898135,0.8990444853432106,-0.5961908452019611
2018-07-11,-0.6460004,-0.4126778072702059,-0.5866046834097332
2018-07-12,-0.69817364,-0.23944613782473126,-0.613441750054541
2018-07-13,-0.7457211,-0.5347057396129037,-0.646641977251795
2018-07-14,-0.7643353,-0.544016649242841,-0.7214665185624678
2018-07-15,-0.6548975,-0.37399294090731094,-0.6795639989181957
2018-07-16,-0.6783292,0.20360941325774126,-0.5963253161355203
2018-07-17,-0.6610665,-0.23831495862032082,-0.5698616215375886
2018-07-18,-0.57945424,-0.1750635999471977,-0.49942894089094436
2018-07-19,-0.6244787,-0.41983986001132173,-0.48789964591601603
2018-07-20,-0.56163776,-0.1850836856471339,-0.4385191431637051
2018-07-21,-0.5648235,-0.4299375428775478,-0.463130079936245
2018-07-22,-0.5435596,-0.5325015312385044,-0.4630637451794664
2018-07-23,-0.46947134,-0.45280618293018,-0.4707449418685441
2018-07-24,-0.64475554,0.10516700565739993,-0.6567175281133985
2018-07-25,-0.63511366,-0.4902211622670462,-0.6597717536738994
2018-07-26,-0.6502715,-0.463684350331428,-0.7082050478862071
2018-07-27,-0.72999996,-0.5242429881172942,-0.7070608950050792
2018-07-28,-0.699941,-0.532877605548205,-0.7022253140976993
2018-07-29,-0.8298766,-0.5444645903727598,-0.7307694204461072
2018-07-30,-0.9016778,-0.44033767441998845,-0.9031064133712933
2018-07-31,-0.79056484,0.00270076880150232,-0.9170075980182187
2018-08-01,-0.83352035,-0.3324227870867284,-0.9445856300833835
2018-08-02,-0.8886943,-0.4514355458265641,-0.9484753271278099
2018-08-03,-0.9653089,-0.5173937752419833,-0.9832413621205662
2018-08-04,-0.97303754,-0.38028250783113654,-1.019055213921871
2018-08-05,-0.9764921,-0.5379522575705679,-1.0052674305230564
2018-08-06,-0.99111384,-0.518805765531624,-1.0120426470802744
2018-08-07,-0.98461306,0.30507698591335314,-1.139624562583505
2018-08-08,-0.8315503,0.23809657815375837,-1.0242974762283183
2018-08-09,-0.8696469,-0.4378390866216515,-0.9307431592004773
2018-08-10,-0.75721955,0.8251735383436568,-0.7678696730137553
2018-08-11,-0.7524827,-0.25034239737859776,-0.7781690382191461
2018-08-12,-0.7276698,-0.5255288240536035,-0.7920753248733348
2018-08-13,-0.47428083,1.317815526466102,-0.5584697537091334
2018-08-14,-0.5941979,-0.3791422195622151,-0.5708351319920356
2018-08-15,-0.5016548,-0.5235541066008375,-0.5095729188083957
2018-08-16,-0.5192703,-0.47854784349266105,-0.43887027584406674
2018-08-17,-0.25486022,0.7786127354251967,-0.0983611301928482
2018-08-18,-0.25719535,0.2608902192884144,-0.04966748598681877
2018-08-19,0.0033341944,-0.499586891284376,-0.03398239821722031
2018-08-20,0.22818758,0.8855060145638133,0.07097930281303322
2018-08-21,0.10917048,-0.4130521357026769,0.09283386069009988
2018-08-22,0.1748982,-0.227852064048407,0.05483267455964576
2018-08-23,0.18791576,-0.4705899817904856,0.04684960665664362
2018-08-24,-0.28578705,-0.47092566236467476,-0.0559184431308676
2018-08-25,-0.08076374,-0.5066123466959558,-0.07302272823746164
2018-08-26,-0.022019692,-0.4791190331059296,-0.07235443773383514
2018-08-27,-0.46263903,-0.2993272897099309,-0.32011199079589153
2018-08-28,-0.4037633,-0.29448757189070096,-0.3076713456455769
2018-08-29,-0.41016233,-0.40332174331236353,-0.28779668763597627
2018-08-30,-0.4081223,-0.4629437860409292,-0.2889752846875177
2018-08-31,-0.6294841,-0.5385741661992834,-0.5849307442731407
2018-09-01,-0.6372479,-0.2199858958990942,-0.6417709563352765
2018-09-02,-0.6203004,-0.5400135427199797,-0.653129382970768
2018-09-03,-0.8271932,-0.4679470223596975,-1.0159056242625866
2018-09-04,-0.83520204,-0.5036699078407073,-1.0374443896218588
2018-09-05,-0.094101086,4.095714590599152,0.2111046257513874
2018-09-06,-0.23769559,-0.5203075119286796,0.18645930114427386
2018-09-07,0.047531463,0.11914046544139117,0.19565267343101272
2018-09-08,0.23845081,0.8983141462898585,0.30474100958732797
2018-09-09,0.21257429,-0.535053879306884,0.311102468969825
2018-09-10,0.24007536,-0.5454236730302889,0.24121942548132277
2018-09-11,0.23442434,0.2131173096236092,0.16258332184013513
2018-09-12,0.21634306,-0.5188098526959227,0.1737469021694428
2018-09-13,0.4644795,2.108935481700923,0.7482064229520772
2018-09-14,0.50673,-0.5456786358774066,0.7523673782133159
2018-09-15,0.44691485,-0.0667719828523065,0.7751781309704411
2018-09-16,0.4694671,-0.5100505371000439,0.7714911366842236
2018-09-17,0.5436491,1.3022910473630622,0.8962774978611452
2018-09-18,0.6221537,0.0657802553687863,1.011506518787004
2018-09-19,0.20053442,-0.5449104129445287,0.3303249722006725
