Date,ann,ts,hvol14
2018-06-28,-0.26780862,-0.31531257943276775,-0.3417392596422843
2018-06-29,-0.20155485,-0.4107278804154662,-0.34648645598729233
2018-06-30,-0.1992421,-0.4141920585506603,-0.2890510912014572
2018-07-01,-0.17712693,-0.5701307531787843,-0.2906506253137203
2018-07-02,-0.19751732,-0.5073163368658022,-0.26312022231704546
2018-07-03,-0.2014107,-0.5901460541332978,-0.31399590974775154
2018-07-04,-0.15584822,-0.7065350220911525,-0.30703576424540463
2018-07-05,-0.20849173,-0.7802011561423625,-0.2923657894427929
2018-07-06,-0.48364085,-0.857313901307656,-0.795836673520268
2018-07-07,-0.5144475,-0.7846966145751415,-0.7576963732207435
2018-07-08,-0.5438595,-0.8574228102826116,-0.8203785999998036
2018-07-09,-0.52191937,-0.8434612304134376,-0.7842199562169992
2018-07-10,-0.45354313,-0.14026291065747754,-0.5961908452019611
2018-07-11,-0.37288725,-0.2948576717194846,-0.5866046834097332
2018-07-12,-0.39505333,-0.35413114542707297,-0.613441750054541
2018-07-13,-0.42764592,-0.517279877922176,-0.646641977251795
2018-07-14,-0.46934813,-0.6512182970653629,-0.7214665185624678
2018-07-15,-0.45383853,-0.669497213392553,-0.6795639989181957
2018-07-16,-0.4199949,-0.3865296041263138,-0.5963253161355203
2018-07-17,-0.3343922,-0.40714137920183957,-0.5698616215375886
2018-07-18,-0.30697894,-0.4102036083276312,-0.49942894089094436
2018-07-19,-0.30150336,-0.5186623803037137,-0.48789964591601603
2018-07-20,-0.27852058,-0.4968398530909053,-0.4385191431637051
2018-07-21,-0.29146725,-0.5797853723697178,-0.463130079936245
2018-07-22,-0.2884521,-0.6974756523778727,-0.4630637451794664
2018-07-23,-0.3194279,-0.7537995031604129,-0.4707449418685441
2018-07-24,-0.39218545,-0.4935939991408924,-0.6567175281133985
2018-07-25,-0.42006272,-0.6129000498528397,-0.6597717536738994
2018-07-26,-0.42297512,-0.6940226612290634,-0.7082050478862071
2018-07-27,-0.4126026,-0.7781948351162911,-0.7070608950050792
2018-07-28,-0.4023596,-0.8514775862805586,-0.7022253140976993
2018-07-29,-0.44611824,-0.9120762554476872,-0.7307694204461072
2018-07-30,-0.5522565,-0.9086677122654583,-0.9031064133712933
2018-07-31,-0.5448625,-0.6740678466777353,-0.9170075980182187
2018-08-01,-0.55434835,-0.6801057725604985,-0.9445856300833835
2018-08-02,-0.56708765,-0.7399569045546349,-0.9484753271278099
2018-08-03,-0.59579456,-0.8098454121311501,-0.9832413621205662
2018-08-04,-0.6096747,-0.8034940021595844,-1.019055213921871
2018-08-05,-0.6061469,-0.8699832284909458,-1.0052674305230564
2018-08-06,-0.62026584,-0.9152947974766326,-1.0120426470802744
2018-08-07,-0.6428055,-0.5129005444740993,-1.139624562583505
2018-08-08,-0.5424537,-0.2904987962539102,-1.0242974762283183
2018-08-09,-0.5416499,-0.42344618944846285,-0.9307431592004773
2018-08-10,-0.41144753,0.061740565475800056,-0.7678696730137553
2018-08-11,-0.37412524,-0.08411194493860358,-0.7781690382191461
2018-08-12,-0.41869575,-0.30098743974025033,-0.7920753248733348
2018-08-13,-0.21403186,0.3881270539495058,-0.5584697537091334
2018-08-14,-0.23776133,0.12932834659380094,-0.5708351319920356
2018-08-15,-0.28057963,-0.1240369141182498,-0.5095729188083957
2018-08-16,-0.24960281,-0.30949991310154373,-0.43887027584406674
2018-08-17,-0.019705065,0.1377500061531779,-0.0983611301928482
2018-08-18,0.10502734,0.17705143526841938,-0.04966748598681877
2018-08-19,0.12664637,-0.07603142649219174,-0.03398239821722031
2018-08-20,0.22667623,0.3098175846011728,0.07097930281303322
2018-08-21,0.20204906,0.06329090943804486,0.09283386069009988
2018-08-22,0.11121978,-0.07435166665254703,0.05483267455964576
2018-08-23,0.12664914,-0.26663150915169237,0.04684960665664362
2018-08-24,-0.008712329,-0.41920512487226497,-0.0559184431308676
2018-08-25,-0.03542781,-0.561176810209986,-0.07302272823746164
2018-08-26,-0.06711568,-0.6608066522792965,-0.07235443773383514
2018-08-27,-0.1895826,-0.6391653776443847,-0.32011199079589153
2018-08-28,-0.22170945,-0.6208970201469362,-0.3076713456455769
2018-08-29,-0.18891428,-0.6730918155765072,-0.28779668763597627
2018-08-30,-0.22836126,-0.7398242989503062,-0.2889752846875177
2018-08-31,-0.37836903,-0.8242345209116777,-0.5849307442731407
2018-09-01,-0.42006022,-0.7149292597458234,-0.6417709563352765
2018-09-02,-0.44778407,-0.8055344647491943,-0.653129382970768
2018-09-03,-0.58419275,-0.8426669368958988,-1.0159056242625866
2018-09-04,-0.64345306,-0.8875692436847047,-1.0374443896218588
2018-09-05,0.08636513,1.7219115883269418,0.2111046257513874
2018-09-06,0.103996016,1.1926036269691092,0.18645930114427386
2018-09-07,0.17122695,0.9321176972352994,0.19565267343101272
2018-09-08,0.25536418,1.0093911920797045,0.30474100958732797
2018-09-09,0.32400483,0.5938012805097318,0.311102468969825
2018-09-10,0.19306648,0.24717879186184538,0.24121942548132277
2018-09-11,0.21344683,0.23801162780470944,0.16258332184013513
2018-09-12,0.16489351,-0.03772929568814847,0.1737469021694428
2018-09-13,0.39971185,0.981397087269616,0.7482064229520772
2018-09-14,0.43573433,0.5685334726367005,0.7523673782133159
2018-09-15,0.46045637,0.3935623568825459,0.7751781309704411
2018-09-16,0.49660504,0.0920044871499748,0.7714911366842236
2018-09-17,0.6473995,0.6161432983609516,0.8962774978611452
2018-09-18,0.7886271,0.47884618715522387,1.011506518787004
2018-09-19,0.35480726,0.15245192202233748,0.3303249722006725
2018-09-20,0.29781318,0.19375375315397056,0.43718906553722714
2018-09-21,0.3119619,0.48376094594666713,0.5217689981638644
2018-09-22,0.26687592,0.2005221988980161,0.3265875793658809
2018-09-23,0.2630189,-0.05914631455190586,0.31818123581637126
2018-09-24,0.25710738,0.04241471518761203,0.4450696098838525
2018-09-25,0.29414767,-0.04449914382743033,0.39910573575298136
2018-09-26,0.30865687,-0.26181363937202456,0.4016782231828567
2018-09-27,0.10449263,-0.1967285096839319,0.05586545006264234
2018-09-28,0.093500145,-0.334774167795938,0.0796400113965747
2018-09-29,-0.06683466,-0.37360382206296855,0.05587865417311428
2018-09-30,-0.0026420131,-0.5371896108060842,0.050911285712582625
2018-10-01,-0.13492689,-0.6595788210057645,-0.2998451264750891
2018-10-02,-0.20641871,-0.737883614309776,-0.3604442457408436
2018-10-03,-0.2015618,-0.7321081528079638,-0.32528845230245385
2018-10-04,-0.30259567,-0.8153818058131332,-0.45923931335296575
2018-10-05,-0.48148555,-0.8291146901603024,-0.7710985022198126
2018-10-06,-0.4673124,-0.8808033311081593,-0.7859650714140373
2018-10-07,-0.51857823,-0.9331263287403915,-0.8005841601887298
2018-10-08,-0.5855165,-0.9557556990056422,-0.9699908529127825
2018-10-09,-0.63635033,-0.9870260639200894,-1.0844477109972828
2018-10-10,-0.6644289,-1.0026390680583597,-1.0883161984787646
2018-10-11,-0.098370805,1.1210428892158446,-0.16988926298973994
2018-10-12,0.02376996,0.7600133821720998,-0.11361492611183316
2018-10-13,-0.028583847,0.3984557882954251,-0.1642165722928682
2018-10-14,-0.12224379,0.11797066026085225,-0.16944703529057356
2018-10-15,0.004235089,0.18371279208410776,-0.00838124425516845
2018-10-16,0.035507366,-0.08938392937496462,-0.008939376760971398
2018-10-17,-0.053963855,-0.29257822616441465,-0.02215595191967973
2018-10-18,-0.0969021,-0.4440201018290222,-0.022456488907758088
2018-10-19,-0.00899142,-0.5947453560555774,-0.04481205617922967
2018-10-20,-0.045230657,-0.7080440867795729,-0.03902964740785044
2018-10-21,-0.094011426,-0.8013609197402943,-0.04148130589875846
2018-10-22,-0.045272067,-0.8699637837900208,-0.05301069012214639
2018-10-23,0.04927841,-0.9262846171248297,-0.05084656289247739
2018-10-24,-0.0030369759,-0.9680622210521175,-0.05028929258435511
2018-10-25,-0.5548921,-0.9962738379971408,-1.1229056553475567
2018-10-26,-0.7096443,-1.021310069032629,-1.1924744704503347
2018-10-27,-0.7548317,-1.0391734546258105,-1.204176692903552
2018-10-28,-0.7796654,-1.0511780184004003,-1.2393993832414316
2018-10-29,-0.8634338,-0.8776358235273887,-1.5079194378452323
2018-10-30,-0.8737938,-0.9321135649872867,-1.5084915296658217
2018-10-31,-0.876289,-0.9732534095612096,-1.5199013371759293
2018-11-01,-0.90792376,-0.999436836894106,-1.5362112136346042
2018-11-02,-0.91458887,-1.0168813102622403,-1.5256935742664195
2018-11-03,-0.92064565,-1.0363582634104176,-1.5364776394512547
2018-11-04,-0.8709851,-0.91560178516558,-1.4052719587355336
2018-11-05,-0.858028,-0.9557690293563997,-1.4055640754170793
2018-11-06,-0.7982196,-0.7962454288251678,-1.2765859647075637
2018-11-07,-0.81043595,-0.8654453644683079,-1.2723166481979757
2018-11-08,-0.8017734,-0.8633771625626838,-1.2285899630387511
2018-11-09,-0.7656138,-0.908531583319756,-1.2173709872976912
2018-11-10,-0.76921713,-0.9427528432856738,-1.2122117905099676
2018-11-11,-0.7889505,-0.9771502092183793,-1.208657564434263
2018-11-12,-0.8256027,-1.0046212149098002,-1.3398900890558492
2018-11-13,-0.81774485,-0.9919872740506532,-1.3061198435043018
2018-11-14,-0.46258152,0.3757639204731151,-0.5212573012583199
2018-11-15,-0.3358345,0.06877753812515963,-0.5275138541907498
2018-11-16,-0.31684417,-0.1049558183546125,-0.5188244640149122
2018-11-17,-0.35115594,-0.3192624329672316,-0.5204848433139131
2018-11-18,-0.36605334,-0.471568170323314,-0.5675836723375925
2018-11-19,0.105187714,1.2562209110697802,0.08422883545795265
2018-11-20,0.28854287,1.6907038762019047,0.20928194380848505
2018-11-21,0.2699123,1.2690813849405822,0.3397255596630053
2018-11-22,0.28604603,1.1147457348649936,0.37203209311769836
2018-11-23,0.36744213,0.7235815363236106,0.358660732275924
2018-11-24,0.43318927,0.76434870411852,0.3354602238523868
2018-11-25,0.4586318,0.4266927233983093,0.4060209215297346
2018-11-26,0.46497482,0.4509340532403964,0.38725255188926344
2018-11-27,0.44494742,0.14390631366664292,0.44790271683898597
2018-11-28,0.4043672,0.6108305760438479,0.6739071142955264
2018-11-29,0.42798895,0.3706312428783477,0.6636283278615719
2018-11-30,0.4204508,0.1645903354738259,0.6645060804058581
2018-12-01,0.49558663,0.04908188388210198,0.7619879350431774
2018-12-02,0.48910087,-0.1691459863437305,0.7251915876231577
2018-12-03,0.3189925,-0.03285372948169174,0.34446942080170345
2018-12-04,0.15345068,-0.2561260887368392,0.04969024587497777
2018-12-05,0.08268813,-0.027782642403502526,0.027707979589506705
2018-12-06,0.24366243,0.5661932557284213,0.14541345517824222
2018-12-07,0.2160565,0.2406585309077456,0.17787518258203036
2018-12-08,0.17370564,-0.03104525249098106,0.07827802841746939
2018-12-09,0.14748174,-0.18951301231702516,0.09086901691622254
2018-12-10,-0.094071046,-0.2775242881644632,0.02000001417261052
2018-12-11,0.115709364,-0.38164745248031284,0.006278924573835422
2018-12-12,-0.17976661,-0.5183647839296238,-0.39045497236726234
2018-12-13,-0.15739177,-0.46166418712719426,-0.38390162225415764
2018-12-14,-0.13164558,-0.5442505753958595,-0.3916091859935015
2018-12-15,-0.24476205,-0.6738677051524505,-0.5313452592391001
2018-12-16,-0.29085523,-0.7674090606303101,-0.49538313675208406
2018-12-17,-0.12626679,0.11834190563121469,-0.1068272442425403
2018-12-18,0.033963077,0.11489141293889704,0.004567023173904448
2018-12-19,-0.05339785,-0.1455329960365684,-0.11751146822415506
2018-12-20,0.01716584,0.857204923559406,-0.045527633922975465
2018-12-21,0.10953076,0.6774652686311512,0.08810630010796672
2018-12-22,0.28910387,0.5613534832352746,0.13070657040233172
2018-12-23,0.28002733,0.9566774110303193,0.3225148046886189
2018-12-24,0.25702786,0.818189186153953,0.27616506287814524
2018-12-25,0.2470802,0.7822532848228854,0.43816402672538757
2018-12-26,0.34087598,0.41649303129826043,0.43928764134848064
2018-12-27,0.39614373,1.0036054967030823,0.7598868016275567
2018-12-28,0.6948001,1.911469206388764,1.0346859241765116
2018-12-29,0.68476206,1.3474198484654876,1.033458298867803
2018-12-30,0.65803593,0.8822116590378545,1.0306841753373774
2018-12-31,0.59822637,0.6226056812924995,1.0241777706378916
2019-01-01,0.661406,0.45035042241640094,1.016873747467227
2019-01-02,0.71308905,0.6894712632727681,1.084009148001372
2019-01-03,0.58681595,0.42356817460861546,0.9373333901837537
2019-01-04,0.5354864,0.18947905942218154,0.8290370974582155
2019-01-05,0.5284456,-0.08208049834095156,0.802960103586925
2019-01-06,0.44184798,-0.29241704426741105,0.634112012715725
2019-01-07,0.40542614,-0.342347270186133,0.6098096809662663
2019-01-08,0.31740737,-0.5060956932693819,0.4742184003026162
2019-01-09,0.3088196,-0.6434525607556393,0.47462866335469067
2019-01-10,0.37706155,0.9789673971199104,0.6801549452362686
2019-01-11,0.16781223,0.5713367607887025,0.11651189383146848
