,volatility_model,dist,p,q,AIC_score,BIC_score,LL_score
56,EGARCH,skewstudent,1,1,-4582.2,-4550.27,2297.1
59,EGARCH,skewstudent,1,2,-4581.32,-4544.06,2297.66
62,EGARCH,skewstudent,1,3,-4579.32,-4536.74,2297.66
74,EGARCH,skewstudent,3,1,-4579.31,-4536.73,2297.66
68,EGARCH,skewstudent,2,2,-4579.16,-4536.58,2297.58
